time,x acc,y acc,z acc,bpm
10599.833,0.141,0.59,-0.78,0
10600.041,0.157,0.595,-0.778,0
10600.301,0.132,0.583,-0.792,0
10600.509,0.152,0.575,-0.783,0
10600.717,0.143,0.562,-0.803,0
10600.925,0.135,0.573,-0.799,0
10601.081,0.165,0.571,-0.792,0
10601.237,0.172,0.582,-0.796,0
10601.393,0.154,0.575,-0.787,0
10601.549,0.16,0.598,-0.779,0
10601.757,0.135,0.719,-0.967,0
10601.913,0.218,0.655,-0.916,0
10602.069,0.335,0.471,-0.756,0
10602.225,0.298,0.245,-0.828,0
10602.381,0.363,0.365,-0.851,0
10602.537,0.291,0.385,-0.759,0
10602.693,0.07,0.356,-0.692,0
10602.849,0.087,0.468,-0.816,0
10603.005,0.441,0.411,-0.87,0
10603.161,0.46,0.531,-0.71,0
10603.317,0.393,0.67,-0.749,0
10603.473,0.346,0.626,-0.677,0
10603.629,0.361,0.707,-0.804,0
10603.785,0.358,0.652,-0.764,0
10603.941,0.373,0.633,-0.694,0
10604.149,0.346,0.593,-0.695,0
10604.305,0.345,0.603,-0.696,0
10604.461,0.35,0.601,-0.736,0
10604.617,0.345,0.768,-0.862,0
10604.773,0.358,0.732,-0.869,0
10604.929,0.386,0.509,-0.861,0
10605.085,0.317,0.294,-0.728,0
10605.241,0.204,0.211,-0.706,0
10605.397,0.205,0.308,-0.78,0
10605.553,0.288,0.364,-0.721,0
10605.709,0.238,0.508,-0.755,0
10605.865,0.348,0.424,-0.638,0
10606.021,0.401,0.541,-0.755,0
10606.177,0.326,0.664,-0.735,0
10606.333,0.348,0.69,-0.721,0
10606.489,0.331,0.604,-0.757,0
10606.645,0.29,0.684,-0.687,0
10606.801,0.286,0.653,-0.727,0
10606.957,0.282,0.668,-0.701,0
10607.113,0.306,0.654,-0.683,0
10607.269,0.303,0.633,-0.727,0
10607.425,0.302,0.617,-0.698,0
10607.581,0.269,0.622,-0.758,0
10607.737,0.313,0.824,-0.962,0
10607.893,0.323,0.546,-0.895,0
10608.049,0.313,0.401,-0.858,0
10608.205,0.298,0.145,-0.695,0
10608.361,0.212,0.297,-0.78,0
10608.517,-0.034,0.269,-0.777,0
10608.673,0.059,0.472,-0.806,0
10608.829,0.173,0.438,-0.777,0
10608.985,0.294,0.427,-0.733,0
10609.245,0.275,0.504,-0.824,0
10609.453,0.219,0.535,-0.794,0
10609.609,0.268,0.663,-0.841,0
10609.765,0.391,0.676,-0.815,0
10609.921,0.297,0.568,-0.715,0
10610.077,0.297,0.591,-0.729,0
10610.233,0.334,0.601,-0.719,0
10610.389,0.34,0.585,-0.7,0
10610.545,0.329,0.623,-0.728,0
10610.701,0.331,0.621,-0.708,0
10610.857,0.346,0.615,-0.779,0
10611.013,0.416,0.828,-0.894,0
10611.221,0.382,0.661,-0.867,0
10611.377,0.437,0.454,-0.565,0
10611.533,0.378,0.158,-0.672,0
10611.689,0.404,0.278,-0.77,0
10611.845,0.182,0.36,-0.767,0
10612.001,-0.019,0.356,-0.911,0
10612.157,0.255,0.379,-0.677,0
10612.313,0.396,0.494,-0.63,0
10612.469,0.313,0.388,-0.564,0
10612.677,0.275,0.446,-0.821,0
10612.781,0.289,0.496,-0.736,0
10612.989,0.469,0.736,-0.61,0
10613.145,0.586,0.92,-0.608,0
10613.301,0.645,0.893,-0.583,0
10613.457,0.666,0.631,-0.334,0
10613.561,0.653,0.637,-0.301,0
10613.717,0.661,0.703,-0.297,0
10613.873,0.641,0.691,-0.275,0
10614.029,0.675,0.696,-0.333,0
10614.185,0.741,0.749,-0.483,0
10614.341,0.706,0.724,-0.278,0
10614.497,0.796,0.846,-0.757,0
10614.653,0.517,0.574,-0.268,0
10614.809,0.398,0.391,-0.503,0
10614.965,0.244,0.336,-0.734,0
10615.121,0.092,0.293,-0.756,0
10615.277,0.228,0.471,-0.873,0
10615.433,0.225,0.457,-0.78,0
10615.589,0.216,0.476,-0.726,0
10615.745,0.271,0.423,-0.75,0
10615.901,0.402,0.446,-0.566,0
10616.109,0.376,0.563,-0.879,0
10616.265,0.417,0.735,-0.806,0
10616.421,0.38,0.67,-0.677,0
10616.577,0.454,0.79,-0.748,0
10616.681,0.411,0.691,-0.726,0
10616.837,0.437,0.625,-0.642,0
10616.993,0.403,0.647,-0.64,0
10617.149,0.416,0.637,-0.626,0
10617.305,0.43,0.637,-0.635,0
10617.461,0.446,0.644,-0.615,0
10617.617,0.424,0.659,-0.617,0
10617.773,0.432,0.864,-0.818,0
10617.929,0.406,0.786,-0.812,0
10618.085,0.628,0.448,-0.409,0
10618.241,0.744,0.391,-0.282,0
10618.397,0.873,0.134,-0.134,0
10618.605,0.905,0.274,-0.19,0
10618.761,0.96,0.313,-0.139,0
10618.917,0.918,0.316,-0.144,0
10619.021,0.909,0.312,-0.102,0
10619.177,0.825,0.305,-0.167,0
10619.333,0.827,0.355,-0.212,0
10619.489,0.816,0.359,-0.496,0
10619.645,0.645,0.404,-0.626,0
10619.801,0.576,0.544,-0.746,0
10619.957,0.372,0.543,-0.817,0
10620.113,0.273,0.633,-0.762,0
10620.269,0.27,0.624,-0.72,0
10620.425,0.281,0.609,-0.729,0
10620.581,0.305,0.589,-0.689,0
10620.737,0.312,0.606,-0.718,0
10620.893,0.306,0.598,-0.707,0
10621.049,0.322,0.586,-0.702,0
10621.205,0.303,0.62,-0.725,0
10621.361,0.201,0.816,-0.957,0
10621.517,0.477,0.681,-0.778,0
10621.725,0.726,0.286,-0.299,0
10621.933,0.927,0.012,0.14,0
10622.089,1.025,0.178,0.013,0
10622.245,0.985,0.223,-0.089,0
10622.401,0.954,0.195,-0.043,0
10622.557,0.994,0.249,0.084,0
10622.713,0.846,0.065,-0.079,0
10622.869,0.71,0.327,-0.247,0
10623.025,0.435,0.545,-0.86,0
10623.181,0.369,0.59,-0.769,0
10623.389,0.313,0.559,-0.77,0
10623.545,0.316,0.56,-0.722,0
10623.701,0.321,0.629,-0.773,0
10623.857,0.221,0.662,-0.787,0
10624.013,0.311,0.611,-0.674,0
10624.169,0.321,0.623,-0.723,0
10624.325,0.332,0.612,-0.715,0
10624.481,0.334,0.624,-0.701,0
10624.637,0.336,0.621,-0.709,0
10624.793,0.337,0.615,-0.701,0
10624.949,0.337,0.636,-0.7,0
10625.105,0.35,0.758,-0.833,0
10625.313,0.386,0.712,-0.859,0
10625.469,0.422,0.435,-0.704,0
10625.625,0.407,0.359,-0.654,0
10625.781,0.292,0.255,-0.755,0
10625.937,0.363,0.315,-0.815,0
10626.041,0.297,0.287,-0.792,0
10626.197,0.418,0.343,-0.696,0
10626.353,0.331,0.411,-0.733,0
10626.509,0.338,0.407,-0.561,0
10626.665,0.324,0.419,-0.785,0
10626.821,0.44,0.464,-0.848,0
10627.081,0.477,0.592,-0.76,0
10627.237,0.541,0.492,-0.754,0
10627.393,0.491,0.669,-0.718,0
10627.601,0.424,0.583,-0.68,0
10627.757,0.412,0.607,-0.661,0
10627.965,0.403,0.657,-0.684,0
10628.173,0.356,0.628,-0.68,0
10628.329,0.361,0.64,-0.678,0
10628.485,0.364,0.63,-0.675,0
10628.641,0.378,0.643,-0.672,0
10628.797,0.404,0.701,-0.759,0
10628.953,0.444,0.763,-0.821,0
10629.161,0.392,0.564,-0.802,0
10629.369,0.48,0.422,-0.617,0
10629.525,0.463,0.345,-0.727,0
10629.681,0.391,0.313,-0.64,0
10629.837,-0.05,0.5,-0.897,0
10629.941,0.231,0.423,-0.802,0
